Title,url,Word count,# of Links,# of comments,# Images video,Elapsed days,# Shares
What is Machine Learning and how do we use it in Signals?,https://blog.signals.network/what-is-machine-learning-and-how-do-we-use-it-in-signals-6797e720d636,1888,1,2,2,34,200000
10 Companies Using Machine Learning in Cool Ways,,1742,9,,9,5,25000
How Artificial Intelligence Is Revolutionizing the Sector,,962,6,0,1,10,42000
Dbrain and the Blockchain of Artificial Intelligence,,1221,3,,2,68,200000
Nasa finds entire solar system filled with eight planets like our own,,2039,1,104,4,131,200000
5 ways Data Science and Machine Learning impact business,,761,0,,1,14,21000
200 universities just launched 600 free online courses. Here’s the full list.,https://qz.com/1120344/200-universities-just-launched-600-free-online-courses-heres-the-full-list/,6462,600,28,2,170,200000
How Machine Learning can help Cryptocurrency Traders Maximize their Gains,https://cryptovest.com/news/how-machine-learning-can-help-cryptocurrency-traders-maximize-their-gains/?utm_source=SocialAnimal&utm_medium=referral,753,3,0,1,78,77000
Tech companies should stop pretending AI won’t destroy jobs,https://www.technologyreview.com/s/610298/tech-companies-should-stop-pretending-ai-wont-destroy-jobs/,1118,2,,1,62,59400
Artificial intelligence is going to completely change your life,,1581,4,,2,60,35000
Facebook robots shut down after they talk to each other in language only they understand ,,2090,1,95,1,267,100000
A visual introduction to machine learning,http://www.r2d3.us/visual-intro-to-machine-learning-part-1/?utm_source=SocialAnimal&utm_medium=referral,1099,4,,15,1002,350000
10 Breakthrough Technologies 2018,,3900,30,,10,62,20000
Google CEO Sundar Pichai says AI is more profound than electricity or fire,,256,0,27,1,95,29000
How machine learning is changing the financial industry,,1267,2,,4,124,37000
New AI can work out whether you're gay or straight from a photograph,https://www.theguardian.com/technology/2017/sep/07/new-artificial-intelligence-can-tell-whether-youre-gay-or-straight-from-a-photograph,971,10,,1,228,67300
Researchers have linked a human brain to the Internet for the first time ever,https://futurism.com/researchers-have-linked-a-human-brain-to-the-internet-for-the-first-time-ever/,369,6,,1,222,60100
Who’s a good AI? Dog-based data creates a canine machine learning system,https://techcrunch.com/2018/04/11/whos-a-good-ai-dog-based-data-creates-a-canine-machine-learning-system/,635,3,1,2,12,3200
Which One to Choose for Your Problem ,,1631,6,6,9,180,37000
A computer was asked to predict which start-ups would be successful. The results were astonishing,,571,4,,1,277,55000
AI Is Inventing Languages Humans Can’t Understand. Should We Stop It?,https://www.fastcodesign.com/90132632/ai-is-inventing-its-own-perfect-languages-should-we-let-it,1333,8,,4,284,54800
An Artificial Intelligence Developed Its Own Non-Human Language,https://www.theatlantic.com/technology/archive/2017/06/artificial-intelligence-develops-its-own-non-human-language/530436/,364,5,,2,313,54600
Denmark's largest bank is using AI and machine learning to ‘tear everything apart’ – and it’s starting to pay off,,515,2,,5,173,27000
How Artificial Intelligence Is Key for Autonomous Vehicle Development,,1135,8,0,1,146,20000
Machine Learning Zone: OpenAI competition takes on Sonic the Hedgehog,,666,4,0,3,18,2400
How neural networks are trained,https://ml4a.github.io/ml4a/how_neural_networks_are_trained/,8401,30,,21,113,14000
Reverie Labs uses new machine learning algorithms to fix drug development bottlenecks,,787,4,0,1,39,3800
"Machine Learning Applied to Big Data, Explained",,421,2,,1,277,26000
Physicists have discovered what makes neural networks so extraordinarily powerful ,,1065,1,19,1,171,14000
Turning Design Mockups Into Code With Deep Learning,,5892,21,,20,104,7100
A deep-learning machine was trained to spot criminals by looking at mugshots,,908,2,,1,226,14000
Getting Value from MachineLearning Isn’t About Fancier Algorithms — It’s About Making It Easier to Use,,1260,6,4,1,49,3000
The Amazing Ways Tesla Is Using Artificial Intelligence And Big Data,,950,6,,1,106,5600
